index,x,y
1200,0.370,0.822
1201,0.403,0.814
1202,0.367,0.780
1203,0.400,0.783
1204,0.434,0.786
1205,0.825,0.767
1206,0.377,0.740
1207,0.408,0.753
1208,0.399,0.704
1209,0.425,0.726
1210,0.450,0.748
1211,0.797,0.751
1212,0.431,0.677
1213,0.449,0.706
1214,0.470,0.662
1215,0.477,0.694
1216,0.485,0.727
1217,0.767,0.759
1218,0.512,0.659
1219,0.509,0.692
1220,0.552,0.669
1221,0.539,0.700
1222,0.526,0.730
1223,0.751,0.786
1224,0.587,0.691
1225,0.566,0.716
1226,0.614,0.723
1227,0.586,0.740
1228,0.557,0.757
1229,0.759,0.816
1230,0.630,0.762
1231,0.597,0.769
1232,0.633,0.803
1233,0.600,0.800
1234,0.566,0.797
1235,0.786,0.832
1236,0.623,0.844
1237,0.592,0.831
1238,0.601,0.879
1239,0.575,0.857
1240,0.550,0.835
1241,0.816,0.825
1242,0.569,0.906
1243,0.551,0.877
1244,0.530,0.922
1245,0.523,0.889
1246,0.515,0.857
1247,0.832,0.797
1248,0.488,0.924
1249,0.491,0.891
1250,0.448,0.914
1251,0.461,0.884
1252,0.474,0.853
1254,0.413,0.892
1255,0.434,0.867
1256,0.386,0.860
1257,0.414,0.843
1258,0.443,0.826
1260,0.562,0.600
1261,0.562,0.567
1262,0.562,0.533
1263,0.521,0.600
1264,0.521,0.567
1265,0.521,0.533
1266,0.479,0.600
1267,0.479,0.567
1268,0.479,0.533
1269,0.438,0.600
1270,0.438,0.567
1271,0.438,0.533
1272,0.396,0.600
1273,0.396,0.567
1274,0.396,0.533
1275,0.354,0.600
1276,0.354,0.567
1277,0.354,0.533
1278,0.312,0.600
1279,0.312,0.567
1280,0.312,0.533
1281,0.271,0.600
1282,0.271,0.567
1283,0.271,0.533
1284,0.229,0.600
1285,0.229,0.567
1286,0.229,0.533
1287,0.188,0.600
1288,0.188,0.567
1289,0.188,0.533
1290,0.146,0.600
1291,0.146,0.567
1292,0.146,0.533
1293,0.104,0.600
1294,0.104,0.567
1295,0.104,0.533
1296,0.896,0.600
1297,0.896,0.567
1298,0.896,0.533
1299,0.854,0.600
1300,0.854,0.567
1301,0.854,0.533
1302,0.812,0.600
1303,0.812,0.567
1304,0.812,0.533
1305,0.771,0.600
1306,0.771,0.567
1307,0.771,0.533
1308,0.729,0.600
1309,0.729,0.567
1310,0.729,0.533
1311,0.688,0.600
1312,0.688,0.567
1313,0.688,0.533
1314,0.646,0.600
1315,0.646,0.567
1316,0.646,0.533
1317,0.604,0.600
1318,0.604,0.567
1319,0.604,0.533
1320,0.562,0.467
1321,0.562,0.433
1322,0.562,0.400
1323,0.521,0.467
1324,0.521,0.433
1325,0.521,0.400
1326,0.479,0.467
1327,0.479,0.433
1328,0.479,0.400
1329,0.438,0.467
1330,0.438,0.433
1331,0.438,0.400
1332,0.396,0.467
1333,0.396,0.433
1334,0.396,0.400
1335,0.354,0.467
1336,0.354,0.433
1337,0.354,0.400
1338,0.312,0.467
1339,0.312,0.433
1340,0.312,0.400
1341,0.271,0.467
1342,0.271,0.433
1343,0.271,0.400
1344,0.229,0.467
1345,0.229,0.433
1346,0.229,0.400
1347,0.188,0.467
1348,0.188,0.433
1349,0.188,0.400
1350,0.146,0.467
1351,0.146,0.433
1352,0.146,0.400
1353,0.104,0.467
1354,0.104,0.433
1355,0.104,0.400
1356,0.896,0.467
1357,0.896,0.433
1358,0.896,0.400
1359,0.854,0.467
1360,0.854,0.433
1361,0.854,0.400
1362,0.812,0.467
1363,0.812,0.433
1364,0.812,0.400
1365,0.771,0.467
1366,0.771,0.433
1367,0.771,0.400
1368,0.729,0.467
1369,0.729,0.433
1370,0.729,0.400
1371,0.688,0.467
1372,0.688,0.433
1373,0.688,0.400
1374,0.646,0.467
1375,0.646,0.433
1376,0.646,0.400
1377,0.604,0.467
1378,0.604,0.433
1379,0.604,0.400
1380,0.561,0.327
1381,0.545,0.297
1382,0.530,0.268
1385,0.516,0.307
1386,0.479,0.340
1387,0.484,0.307
1388,0.490,0.274
1389,0.439,0.327
1390,0.455,0.297
1394,0.453,0.255
1397,0.411,0.254
1398,0.368,0.229
1400,0.434,0.219
1401,0.368,0.187
1402,0.401,0.193
1383,0.429,0.138
1384,0.455,0.119
1412,0.470,0.149
1391,0.484,0.110
1404,0.521,0.077
1405,0.516,0.110
1406,0.510,0.142
1407,0.505,0.175
1408,0.561,0.090
1409,0.545,0.119
1410,0.594,0.114
1423,0.571,0.138
1424,0.547,0.161
1413,0.619,0.148
1414,0.589,0.163
1392,0.599,0.193
1393,0.566,0.198
1428,0.839,0.756
1429,0.800,0.734
1430,0.756,0.745
1431,0.734,0.783
1432,0.745,0.827
1433,0.783,0.850
1434,0.827,0.839
1435,0.850,0.800
1395,0.533,0.203
1396,0.599,0.224
1399,0.619,0.269
1436,0.559,0.239
1437,0.594,0.303
1403,0.571,0.279
0,0.789,0.776
1,0.804,0.781
2,0.807,0.797
3,0.794,0.808
4,0.779,0.802
5,0.776,0.786
